City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
231,port hardy,90,CA,1565244617,93,50.7,-127.42,55.4,7.29
232,high level,90,CA,1565244618,76,58.52,-117.13,57.2,8.05
233,pangnirtung,81,CA,1565244618,80,66.15,-65.72,44.56,1.86
234,macia,0,MZ,1565244618,37,-25.03,33.09,73.9,11.79
235,bilibino,74,RU,1565244618,47,68.06,166.44,67.06,2.33
236,vicksburg,1,US,1565244619,100,32.35,-90.88,80.6,7.61
237,capreol,40,CA,1565244619,77,46.71,-80.92,64.4,2.24
238,mahebourg,20,MU,1565244619,64,-20.41,57.7,75.99,9.17
239,birin,100,NP,1565244620,89,26.89,88.07,66.34,7.49
240,mitsamiouli,20,KM,1565244620,61,-11.38,43.28,77.0,3.36
241,kaduqli,100,SD,1565244620,90,11.01,29.72,73.36,4.45
242,zhanakorgan,0,KZ,1565244621,15,43.91,67.25,89.38,25.1
243,nanortalik,93,GL,1565244621,98,60.14,-45.24,39.7,2.08
244,dunedin,100,NZ,1565244463,55,-45.87,170.5,54.0,1.99
245,prince rupert,90,CA,1565244622,100,54.32,-130.32,53.6,4.7
246,yumen,1,CN,1565244622,17,40.29,97.04,87.4,17.13
247,khatanga,39,RU,1565244622,43,71.98,102.47,73.0,11.56
248,athabasca,90,CA,1565244399,76,54.72,-113.29,51.58,2.26
249,chinchani,90,IN,1565244623,94,16.42,74.53,73.4,13.87
250,garowe,57,SO,1565244623,49,8.41,48.48,81.82,26.98
251,westport,75,US,1565244623,100,41.14,-73.36,70.0,2.24
252,asmara,25,ER,1565244624,69,15.34,38.93,74.44,3.36
253,ostrovnoy,100,RU,1565244624,91,68.05,39.51,45.82,11.3
254,ilulissat,2,GL,1565244624,93,69.22,-51.1,41.0,9.44
255,nurota,0,UZ,1565244625,14,40.56,65.69,89.6,25.28
256,kerikeri,89,NZ,1565244625,83,-35.23,173.95,57.99,7.0
257,nanakuli,75,US,1565244625,74,21.39,-158.15,82.4,3.18
258,gimli,32,CA,1565244362,67,50.63,-96.99,55.99,11.56
259,predivinsk,20,RU,1565244626,40,57.07,93.44,82.18,5.73
260,vao,27,EE,1565244626,85,59.1,26.19,60.58,3.83
261,sungaipenuh,99,ID,1565244626,57,-2.08,101.38,86.68,5.06
262,zhigansk,89,RU,1565244627,59,66.77,123.37,65.26,9.69
263,sorland,40,NO,1565244627,87,67.67,12.69,55.4,10.29
264,pak thong chai,75,TH,1565244627,59,14.73,102.02,91.0,9.17
265,te anau,100,NZ,1565244627,93,-45.41,167.72,39.88,6.78
266,juxtlahuaca,100,MX,1565244628,95,17.43,-99.15,60.94,4.41
267,codrington,24,AU,1565244628,22,-28.95,153.24,78.8,13.87
268,bubaque,94,GW,1565244629,83,11.28,-15.83,77.86,10.92
269,palana,100,RU,1565244629,79,59.08,159.95,52.84,13.35
270,kizlyar,6,RU,1565244598,28,43.84,46.71,82.54,11.3
271,ketchikan,90,US,1565244629,100,55.34,-131.65,57.2,13.87
272,tuatapere,100,NZ,1565244630,92,-46.13,167.69,48.0,21.45
273,turayf,0,SA,1565244630,64,31.68,38.65,73.4,6.93
274,inuvik,90,CA,1565244630,81,68.36,-133.71,42.8,5.82
